Name,GUID,UUID,Description
ACT1_FOR_BOTTOMLESS_ETTERCAPS,b2d42bb3-38c9-4c83-a7a0-6c6eb34959bc,b2d42bb3-38c9-4c83-a0a7-6e6c49b3bc59,Ettercaps that will react to players trespassing in their nest
ACT1_FOR_GLADEGUARD,af54ab50-4ffb-41f3-9485-f7c81bd37cfd,af54ab50-4ffb-41f3-8594-c8f7d31bfd7c,Generics flag% for NPCs guarding the dryad's glade in the forest
ACT1_FOR_SPIDERQUEENEGGS,49458de3-20c1-4471-a8a6-2febeaf89e96,49458de3-20c1-4471-a6a8-eb2ff8ea969e,Combat AI tag used for the Spider Queen fight.
ACT1_GOB_ASSISTANT_TORTURER,13e4707d-1fd1-4850-94f8-29e755a0200e,13e4707d-1fd1-4850-f894-e729a0550e20,|Tag for Goblet% reacts if you kill Liam% but differently from Spike|
ACT1_GOB_DIGGINGTOOL,09ad9054-26f9-422b-98a0-61d28981e157,09ad9054-26f9-422b-a098-d261818957e1,Items that can be used to dig out of GOB Wolf Pens Prison
ACT1_GOB_DROWCOMNOBUFF,9f26585a-4e60-4ea7-bb3f-ca718c0b36a6,9f26585a-4e60-4ea7-3fbb-71ca0b8ca636,|Target condition to prevent Minthara from using her buff on tagged characters|
ACT1_GOB_Festivities,614b7f6c-e6ef-4d6d-b58d-4d514f4bdff6,614b7f6c-e6ef-4d6d-8db5-514d4b4ff6df,|Reacts when the player poisons the area|
ACT1_GOB_OGREBODYGUARD,6f7c1d13-635f-461d-ad02-410799d0098f,6f7c1d13-635f-461d-02ad-0741d0998f09,A combat tag allowing Gut% the goblin priestess% to use a certain spell on Polma% her ogre bodyguard.
ACT1_GOB_PENITENT,ffc90ec2-bdab-4866-8f0a-0b8db2a164f9,ffc90ec2-bdab-4866-0a8f-8d0ba1b2f964,|Took part in the pain priest's penance% so is excluded from the reaction voice bark|
ACT1_GOB_PRIESTESS,b4a82c4b-74eb-41aa-96a1-5a2c5dedf06d,b4a82c4b-74eb-41aa-a196-2c5aed5d6df0,A combat tag allowing the goblin priestess's allies to use healing spells on her% and on her only.
ACT1_GOB_PRIESTESS_PLAYER_DANGER,27a0ab52-9a5e-473f-aabd-573fa54d30eb,27a0ab52-9a5e-473f-bdaa-3f574da5eb30,A combat tag allowing Gut% the goblin priestess% to see that the player is in front of the statue% so that she can use CC spells to keep them there.
ACT1_GOB_PRIESTESS_STATUE,f1fbea64-76c0-4ab0-9e3d-c5a748351b17,f1fbea64-76c0-4ab0-3d9e-a7c53548171b,A combat tag allowing Gut% the goblin priestess% to use her spells on the statues around her.
ACT1_GOB_PRIESTESS_STATUE_NOMELEE,99e663f6-26b4-47b4-bb6e-682a597a8983,99e663f6-26b4-47b4-6ebb-2a687a598389,
ACT1_GOB_PRIESTESS_STATUE_UNSAFE,9ceba3bd-c44b-4b7b-a52c-ba6109c73b68,9ceba3bd-c44b-4b7b-2ca5-61bac709683b,A combat tag allowing Gut% the goblin priestess% to know that she should not use a spell if she's too close to a statue she may have considered for destruction.
ACT1_GOB_SPIDERNEST_GUARDS,82d1439c-2e6f-4734-ab75-a264c44b8ef1,82d1439c-2e6f-4734-75ab-64a24bc4f18e,|Guards at Spider Pit in Gob camp - will react to players opening spider's cage|
ACT1_GOB_TORTURER,7a425fa4-def2-4591-8a97-481a05a38eb7,7a425fa4-def2-4591-978a-1a48a305b78e,|Tag for Torturer Spike% reacts if you kill Liam|
ACT1_GOB_WARPAINT,b450e5e9-9c2f-4be9-aee2-71d0b2cecfa4,b450e5e9-9c2f-4be9-e2ae-d071ceb2a4cf,|Reacts when sees War Paint|
ACT1_HAG_AIHELPER_CAGE,d5e810be-c790-42a6-afbd-3d5fcf1de1b8,d5e810be-c790-42a6-bdaf-5f3d1dcfb8e1,
ACT1_HAG_HUSBAND,d61567bd-ea67-4b07-a7ed-1b71eb4e714d,d61567bd-ea67-4b07-eda7-711b4eeb4d71,Identifies Mayrina's husband
ACT1_HAG_ILLUSION,2a84bac4-3111-43a6-8f0c-9995b6187962,2a84bac4-3111-43a6-0c8f-959918b66279,AI tag for the hag's Illusions
ACT1_MOO_DROW_GUARD,f64626cd-da8c-4ddf-a17c-a03227ff5fd6,f64626cd-da8c-4ddf-7ca1-32a0ff27d65f,Generics tag for Moonrise Towers guards
ACT1_MOO_MINDWITNESS,0ef680af-d077-466f-a9f3-0f9fa7104d24,0ef680af-d077-466f-f3a9-9f0f10a7244d,Crime reaction tag for Moonrise Dungeon Mindwitness
ACT1_ORI_WYLLCONFRONTATION_BONDEDAVATAR,27a08796-8a75-4bd3-b441-c8124244ce62,27a08796-8a75-4bd3-41b4-12c8444262ce,
ACT1_PLA_STUCKHALFELF,edd388de-4376-483d-a6fd-d656b6f46015,edd388de-4376-483d-fda6-56d6f4b61560,
ACT1_PLA_ZARIELCULTIST,7d034aef-d1a9-4899-a4e8-65952eac3cad,7d034aef-d1a9-4899-e8a4-9565ac2ead3c,Crime tag for zariel cultists.
ACT1_SHA_SKELETON_GUARD,adc7502c-2c14-4eb7-9f51-56e1835431fe,adc7502c-2c14-4eb7-519f-e1565483fe31,|Skeleton guard reacting to players trespassing into the treasure room.|
ACT1_UND_FULLBUCKET,c5d2d42f-8204-4dc4-a4d3-241f2241496d,c5d2d42f-8204-4dc4-d3a4-1f2441226d49,Tag for checking whether the bucket in myconid circle full. Used in anubis
ACT1_UND_LONEDUERGAR,00dfb1f8-0a49-4fce-9b1c-d0869b095272,00dfb1f8-0a49-4fce-1c9b-86d0099b7252,|Tag that indicates Gekh Coal% needed for custom crime|
ACT1B_CRE_CARETAKER,982b48a1-fd2f-464a-a02f-0a5b2cc83a4e,982b48a1-fd2f-464a-2fa0-5b0ac82c4e3a,
ACT1B_CRE_GITHALLY,70082ca5-e943-4e79-9490-56a0e98bc52d,70082ca5-e943-4e79-9094-a0568be92dc5,For turrets to discern who to shoot at in the gith creche
ACT1B_CRE_GITHYANKI_YOUTH,f6ba0295-fe26-467a-a77e-4aa672106354,f6ba0295-fe26-467a-7ea7-a64a10725463,Combat Tag. Used to help Githyanki Sa'Varsh apply his Buf to Youth gith only
ACT1B_CRE_INQUISITOR_TRIGGERMINDSTEALTEMPEST,1271938d-b5a2-4321-9cae-f681045981b2,1271938d-b5a2-4321-ae9c-81f65904b281,Combat Tag. Used to trigger Inquisitor's Mindsteal Tempest (2nd phase) if N of his minions are dead.
ACT1B_CRE_MAGEHANDIGNORE,3bd1ef33-35b9-41e6-ab53-dc9414fe7b8a,3bd1ef33-35b9-41e6-53ab-94dcfe148a7b,For gith magehands to discern which targets to ignore.
ACT1B_CRE_TEMPLAR,427318f0-480b-40a1-a316-38cb8e4c5e56,427318f0-480b-40a1-16a3-cb384c8e565e,For the Templar to trigger a unique crime when attacked from an unseen source
ACT1B_CRE_VARRL,a9fcbd06-c9cb-4ee5-922c-caf3197b5fbe,a9fcbd06-c9cb-4ee5-2c92-f3ca7b19be5f,Used to deliver custom Assault AD.
ACT2_COL_BARRACKS_MISTRESS,d35c6c4a-3542-4cf8-9af8-b77daad75370,d35c6c4a-3542-4cf8-f89a-7db7d7aa7053,
ACT2_COL_BUTCHER,d815623d-67d8-4074-a5e7-cdadf18e10ba,d815623d-67d8-4074-e7a5-adcd8ef1ba10,
ACT2_COL_CANDLELIGHTER,bd119f76-0e10-4201-81f7-45708ec2ca18,bd119f76-0e10-4201-f781-7045c28e18ca,Marks the character who's going to light the candle in the zombie fight with the Necromancer
ACT2_COL_INNECROMANCERCAGE,eb6f9627-3093-497b-8d6b-d5b2f6fd8995,eb6f9627-3093-497b-6b8d-b2d5fdf69589,
ACT2_COL_NECROMANCERZOMBIE,92a54816-bfd1-4af0-a0de-90bbfffaaa0b,92a54816-bfd1-4af0-dea0-bb90faff0baa,
ACT2_COL_RESTORATIONSOURCE,847fa022-ee37-427c-b74e-5373726badcf,847fa022-ee37-427c-4eb7-73536b72cfad,
ACT2_COL_VAULT_ATGRANDDESIGNSCULPTURE,40eb3c03-0dec-4244-a8d5-83b89af32727,40eb3c03-0dec-4244-d5a8-b883f39a2727,
ACT2_COL_VAULT_SOLVING,50d2cab2-7636-43c7-be04-a76ee83829a4,50d2cab2-7636-43c7-04be-6ea738e8a429,
ACT2_HAV_AI_HINT_ISOBELFLEE,3f261d03-8132-4f0d-a954-689a040f9f58,3f261d03-8132-4f0d-54a9-9a680f04589f,Tag set on Isobel to make her 'flee' in a prefered direction
ACT2_HAV_FLAMINGSPY,a5e92dfc-7fa2-4619-bdd7-8c13d9ae7d47,a5e92dfc-7fa2-4619-d7bd-138caed9477d,
ACT2_HAV_GUARD,e4b05758-8995-4ca1-9aad-7409991b7095,e4b05758-8995-4ca1-ad9a-09741b999570,Tag for for all the guards in haven (used for checkpoint crime and dialog).
ACT2_HAV_HALSINLAKESIDE_DARKVINES,11a6d2a2-e349-42d4-a151-c9b7ae5703d6,11a6d2a2-e349-42d4-51a1-b7c957aed603,A tag to make the vines in halsin lakeside fight stay inside.
ACT2_HAV_HARPER1,e765757d-707c-4aef-9b39-8e9f5ec265ef,e765757d-707c-4aef-399b-9f8ec25eef65,Tag to identify S_HAV_HarperGuard_001_8082f1d4-8942-492e-8d26-1e1ed6bd881f for voice recording.
ACT2_HAV_HARPER2,3e50f8fd-6292-4b5c-af49-854634a59121,3e50f8fd-6292-4b5c-49af-4685a5342191,Tag to identify S_HAV_HarperGuard_002_34a9bfd8-1ca2-4a1c-b72e-2bf1cfc046a4 for voice recording.
ACT2_HAV_ISOBEL,feddd4ac-752b-43db-97b7-78ad68654ee0,feddd4ac-752b-43db-b797-ad786568e04e,Combat tag - allows Marcus's tadpole power to leave Isobel unharmed
ACT2_HAV_MOL,cea2da07-5a6d-4883-b62a-daad19afd357,cea2da07-5a6d-4883-2ab6-addaaf1957d3,
ACT2_HAV_SIEGE_SHADOWCURSED_PRESERVE_HP,54d84ff5-73f6-4eaf-aa92-0fec99cdace0,54d84ff5-73f6-4eaf-92aa-ec0fcd99e0ac,
ACT2_HAV_SUMMONREADY,816cea1e-49c5-431f-85ff-521cc8571df8,816cea1e-49c5-431f-ff85-1c5257c8f81d,
ACT2_MOO_BOOKANIMATEDTARGET,4e97c12f-b77a-4a7d-a42d-9a157c8ec7f5,4e97c12f-b77a-4a7d-2da4-159a8e7cf5c7,
ACT2_MOO_CAT,1c1d2a2d-1d64-4565-b1bb-f5383cfe9f34,1c1d2a2d-1d64-4565-bbb1-38f5fe3c349f,
ACT2_MOO_JAILBREAKTOOL,b148e963-283a-4c02-a7c4-3193ce2ec8e9,b148e963-283a-4c02-c4a7-93312ecee9c8,Tools that can break rocks.
ACT2_MOO_KETHERIC,01d32285-432f-4430-a85b-c50ddf98d9d2,01d32285-432f-4430-5ba8-0dc598dfd2d9,
ACT2_MOO_KETHERIC_BLOCKCOMMAND,e97caba7-e96d-46d6-a1ac-01bade846aeb,e97caba7-e96d-46d6-aca1-ba0184deeb6a,Used to prevent Ketheric using his command troops ability after too many of his troops are killed.
ACT2_MOO_KETHERIC_TAUNT,34ccbf00-621b-4cb2-a3e7-daef32df9146,34ccbf00-621b-4cb2-e7a3-efdadf324691,Used for Ketheric's Taunt Mechanic in phase 1
ACT2_MOO_MASTERKEY,bd7e0b26-7c5c-4f50-b07f-4e62489d514c,bd7e0b26-7c5c-4f50-7fb0-624e9d484c51,Used to track master keys in MOO.
ACT2_MOO_SCRYINGEYE,ed9e7c5c-d578-4769-bf8c-13870ee139ed,ed9e7c5c-d578-4769-8cbf-8713e10eed39,A tag set on scrying eyes in the Moonrise Towers for crime handling.
ACT2_SCL_FISHERMANSHUT_NETIGNORETARGET,de82eeb4-9595-4ed3-9f1d-9d08b8d17930,de82eeb4-9595-4ed3-1d9f-089dd1b83079,
ACT2_SCL_FISHERMANSHUT_PRIORITYTARGET,8112eae1-d98d-4d47-a6b6-88589aefb455,8112eae1-d98d-4d47-b6a6-5888ef9a55b4,
ACT2_SELUNEOINTMENTAPPLIED,fcb7764b-5f7c-4c51-b230-b9c0cf9340b4,fcb7764b-5f7c-4c51-30b2-c0b993cfb440,This character has the ointment of selune applied on them.
ACT2_SHA_BALTHAZAR,e6cd3ba7-7a49-44c5-a10b-8799efe36d8c,e6cd3ba7-7a49-44c5-0ba1-9987e3ef8c6d,
ACT2_SHA_BALTHAZAR_SKELETON,3472c5e3-8a90-40bd-800b-619ab2781e4c,3472c5e3-8a90-40bd-0b80-9a6178b24c1e,
ACT2_SHA_TRIALS_DONTTELEPORT,6be0d584-ab13-402a-8e6c-ddab996f9813,6be0d584-ab13-402a-6c8e-abdd6f991398,
ACT2_SHADOW_CURSE_IMMUNE,b47643e0-583c-4808-b108-f6d3b605b0a9,b47643e0-583c-4808-08b1-d3f605b6a9b0,
ACT2_SHADOW_CURSE_RESISTANT_DONT_PROPAGATE,87dc3ebb-0eca-47d8-971e-3c500c743dd7,87dc3ebb-0eca-47d8-1e97-503c740cd73d,
ACT2_TWN_ACIDPIT_OOZE,d1bf2480-ec9b-46fa-a10c-d403f058741b,d1bf2480-ec9b-46fa-0ca1-03d458f01b74,A tag to identify the enemies in the acid pit fight so that they can be made immune to the Fetid Aura status.
ACT2_TWN_HOSPITAL_NURSE,04e1eeed-7fad-46b5-8555-cbdea2214b6d,04e1eeed-7fad-46b5-5585-decb21a26d4b,
ACT2_TWN_HOSPITAL_RECEPTIONIST,903a911c-41a2-4679-9b4b-14ebb34a5575,903a911c-41a2-4679-4b9b-eb144ab37555,Receptionist at the hospital% the tag is needed for checkpoint crime
ACT2_TWN_HOSPITAL_RECEPTIONIST,d6664ad8-a51d-4003-b5b0-be440b730dda,d6664ad8-a51d-4003-b0b5-44be730bda0d,
ACT2_TWN_MASONSGUILD_VALIDTRAPTARGET,dda79ecf-88ae-4ac7-a714-1530e395783c,dda79ecf-88ae-4ac7-14a7-301595e33c78,
ACT2_TWN_SOULAMULET_EQUIPPED,18c4f28a-7bcc-41c0-8d87-3ea807cb55b6,18c4f28a-7bcc-41c0-878d-a83ecb07b655,Soul Amulet from Regretful Hunter is equipped
ACT2_TWN_SOULRELEASETARGET,ca1b6360-b456-47ec-a67e-152e33bace20,ca1b6360-b456-47ec-7ea6-2e15ba3320ce,Can be targeted by Regretful Hunter Soul Release
ACT2_TWN_TOLLHOUSECOLLECTOR,0b9f73c2-ed02-4a45-abe1-8c1427ae9d9a,0b9f73c2-ed02-4a45-e1ab-148cae279a9d,
ACT2_TWN_TOLLHOUSECOLLECTOR_FACE,b03c73a9-a44d-4ba9-a329-038a07288c6c,b03c73a9-a44d-4ba9-29a3-8a0328076c8c,
ACT2_TWN_WARDINGBONDRECEIVER,334f1e22-a7e2-4705-8aab-d0c2a9807d77,334f1e22-a7e2-4705-ab8a-c2d080a9777d,Tag which is set when you equip a magical ring. Allows the wearer of the matching ring from pait to target you with Warding Bond spell.
ACT3_BALDURSMOUTH_WANDERER_01,3605d4dc-9e36-40e2-9d9c-cbcbeafe1c5e,3605d4dc-9e36-40e2-9c9d-cbcbfeea5e1c,
ACT3_BALDURSMOUTH_WANDERER_02,b19e2a4f-c0bd-4185-8141-24a53bca8e6a,b19e2a4f-c0bd-4185-4181-a524ca3b6a8e,
ACT3_BALDURSMOUTH_WANDERER_03,09921751-4eb7-41b4-91b9-9d688aea0824,09921751-4eb7-41b4-b991-689dea8a2408,
ACT3_BALDURSMOUTH_WANDERER_04,ab35f8fd-135b-4c02-8649-b65ba1934ecc,ab35f8fd-135b-4c02-4986-5bb693a1cc4e,
ACT3_BALDURSMOUTH_WANDERER_05,b2b39ab8-d2ce-4ad2-9834-55407e5ce34d,b2b39ab8-d2ce-4ad2-3498-40555c7e4de3,
ACT3_BALDURSMOUTH_WANDERER_06,1993e54f-89e9-4e1a-99c9-df267b89fe66,1993e54f-89e9-4e1a-c999-26df897b66fe,
ACT3_BALDURSMOUTH_WANDERER_07,49816f80-c238-43fb-9887-565d5ec6fe39,49816f80-c238-43fb-8798-5d56c65e39fe,
ACT3_BALDURSMOUTH_WANDERER_08,82eab2e2-be68-4e5d-b5d0-5ff5f88e1802,82eab2e2-be68-4e5d-d0b5-f55f8ef80218,
ACT3_END_MINDPLATFORM,e0805552-7bb2-4a73-9fab-98bb7cf64ce9,e0805552-7bb2-4a73-ab9f-bb98f67ce94c,
ACT3_END_MINDPORTALDISABLED,6f7d24c4-ffdf-4258-bf74-bb7f155ef83e,6f7d24c4-ffdf-4258-74bf-7fbb5e153ef8,
ACT3_END_MINFLAYER_AIHINT_A,89d8a7dd-adac-4634-a244-b43d52beb1d4,89d8a7dd-adac-4634-44a2-3db4be52d4b1,
ACT3_END_MINFLAYER_AIHINT_B,50f9e776-f4a0-46c3-9d40-d29599298d2f,50f9e776-f4a0-46c3-409d-95d229992f8d,
ACT3_END_MINFLAYER_AIHINT_C,2914c0df-77a6-4f84-a944-63d1eb9a7aa5,2914c0df-77a6-4f84-44a9-d1639aeba57a,
ACT3_END_MINFLAYER_AIHINT_D,d9296499-db49-40c9-adfe-dcea05bd16d5,d9296499-db49-40c9-fead-eadcbd05d516,
ACT3_END_ORPHEUS_SHACKLES,f9e13f98-450d-4b6e-9a64-2f41f901142e,f9e13f98-450d-4b6e-649a-412f01f92e14,
ACT3_END_SEARCHINGABSOLUTIST,2c9ac2c0-78db-4d68-988c-6816d6766a63,2c9ac2c0-78db-4d68-8c98-166876d6636a,
ACT3_HOH_ORTHON_SPELL_LIMIT,5f13326a-be94-4ca9-926b-8d6bec318ab0,5f13326a-be94-4ca9-6b92-6b8d31ecb08a,
ACT3_LOW_CAZADOR,1e65b2b1-4fcc-42ca-9edb-b84e5a14d493,1e65b2b1-4fcc-42ca-db9e-4eb8145a93d4,
ACT3_LOW_CAZADORS_PALACE_GUARD,aa2910ca-02d7-4857-ac17-566898ed7ee8,aa2910ca-02d7-4857-17ac-6856ed98e87e,Tag for the main guard at the Guard Tower that leads to Cazador's palace.
ACT3_LOW_COUNTINGHOUSE_AI_DISARMVAULTTRAP,b2d39cc2-21cb-4e3f-85a4-891490272916,b2d39cc2-21cb-4e3f-a485-148927901629,
ACT3_LOW_COUNTINGHOUSE_AI_DOCKSALARM_TRIGGER,c24e747b-2d7c-44b5-bf3c-1425b4650313,c24e747b-2d7c-44b5-3cbf-251465b41303,
ACT3_LOW_COUNTINGHOUSE_AI_LOWERALARM_TRIGGER,b76df365-15e5-4954-ae92-a7eadf76e13d,b76df365-15e5-4954-92ae-eaa776df3de1,
ACT3_LOW_COUNTINGHOUSE_AI_UPPERALARM_TRIGGER,558f4c12-c503-4c20-bed9-26adc3efcf35,558f4c12-c503-4c20-d9be-ad26efc335cf,
ACT3_LOW_COUNTINGHOUSE_CASHGUARD,b5a316ac-921c-4884-9a2c-8fd05c64c64b,b5a316ac-921c-4884-2c9a-d08f645c4bc6,
ACT3_LOW_DEVILSFEE_COINOFMAMMON,41a50e74-133f-4ac0-997d-9c98da47d313,41a50e74-133f-4ac0-7d99-989c47da13d3,
ACT3_LOW_GROTTOSENTRY,5266a00f-7340-4a34-aea5-eb67cc07c1f3,5266a00f-7340-4a34-a5ae-67eb07ccf3c1,
ACT3_LOW_HAG,9b91e9ae-0205-476d-a381-17dca1b2cdc7,9b91e9ae-0205-476d-81a3-dc17b2a1c7cd,
ACT3_LOW_HAG_PHASE1,5e17174e-3ac1-45fd-aee7-7f3e58c5a4e9,5e17174e-3ac1-45fd-e7ae-3e7fc558e9a4,
ACT3_LOW_HAG_PHASE2,23736f75-cb7c-4211-8a83-d6100bf09b04,23736f75-cb7c-4211-838a-10d6f00b049b,
ACT3_LOW_HAG_PHASE3,c7d23663-bfd0-4e62-bd31-4d5c9b4d5e8e,c7d23663-bfd0-4e62-31bd-5c4d4d9b8e5e,
ACT3_LOW_HAG_PHASE4,3c6f95e0-6d5e-4e80-bdc6-9e325e63d022,3c6f95e0-6d5e-4e80-c6bd-329e635e22d0,
ACT3_LOW_HOUSEOFGRIEF_FEAR_BETRAYAL,64c980e9-5a36-4445-bb73-be08a2cd70e6,64c980e9-5a36-4445-73bb-08becda2e670,
ACT3_LOW_HOUSEOFGRIEF_FEAR_DARKNESS,2905d006-36ac-4dd2-8cfc-f6f898001a52,2905d006-36ac-4dd2-fc8c-f8f60098521a,
ACT3_LOW_HOUSEOFGRIEF_FEAR_DISEASE,10a6215e-1152-4550-bf6f-443f15369951,10a6215e-1152-4550-6fbf-3f4436155199,
ACT3_LOW_HOUSEOFGRIEF_FEAR_MINDFLAYER,6aeefcd3-25b4-4d13-928f-6c13ff63d0a9,6aeefcd3-25b4-4d13-8f92-136c63ffa9d0,
ACT3_LOW_HOUSEOFGRIEF_FEAR_POWERLESS,2e33a20d-0a3a-495a-83e6-aa91503d489d,2e33a20d-0a3a-495a-e683-91aa3d509d48,
ACT3_LOW_HOUSEOFGRIEF_FEAR_SPIDERS,b0581c50-c2c8-4140-b793-dfaea33945da,b0581c50-c2c8-4140-93b7-aedf39a3da45,
ACT3_LOW_HOUSEOFGRIEF_HEART_CRAVEN,fe684418-2454-45c1-a482-328b12f60b7a,fe684418-2454-45c1-82a4-8b32f6127a0b,
ACT3_LOW_HOUSEOFGRIEF_HEART_FALSE,04bfa5a1-5701-443b-90a3-cf8e596ac503,04bfa5a1-5701-443b-a390-8ecf6a5903c5,
ACT3_LOW_HOUSEOFGRIEF_HEART_JEALOUS,9b15de08-d0aa-439f-bcad-e7a6201505a7,9b15de08-d0aa-439f-adbc-a6e71520a705,
ACT3_LOW_HOUSEOFGRIEF_HEART_MELANCHOLY,e57c19fe-4f1c-4a44-9b5a-a9b511fdbbef,e57c19fe-4f1c-4a44-5a9b-b5a9fd11efbb,
ACT3_LOW_HOUSEOFGRIEF_HEART_PRYING,f8d720f9-9c6b-4097-be00-1661ec059de8,f8d720f9-9c6b-4097-00be-611605ece89d,
ACT3_LOW_HOUSEOFGRIEF_HEART_VIOLENT,71c456cd-8cc2-4eac-9425-e7e359b3eea9,71c456cd-8cc2-4eac-2594-e3e7b359a9ee,
ACT3_LOW_HOUSEOFGRIEF_POLYMORPH,627d87be-85c2-406b-b1b6-8e51c08b652f,627d87be-85c2-406b-b6b1-518e8bc02f65,
ACT3_LOW_HOUSEOFGRIEF_SHADOWHEART,f16ff923-66b8-46d2-80db-95108612bbee,f16ff923-66b8-46d2-db80-10951286eebb,
ACT3_LOW_HOUSEOFGRIEF_VICTIM,8d2d234e-a25a-4a92-b1a1-df5e90b08ebd,8d2d234e-a25a-4a92-a1b1-5edfb090bd8e,
ACT3_LOW_HOUSEOFHOPE_BANISHABLECHARACTER,13a5d85a-5624-4d8d-bad7-c2ab834b2856,13a5d85a-5624-4d8d-d7ba-abc24b835628,
ACT3_LOW_HOUSEOFHOPE_DEBTOR,9fb62daf-68db-483e-bc3b-6032d9ea7bd8,9fb62daf-68db-483e-3bbc-3260ead9d87b,
ACT3_LOW_HOUSEOFHOPE_SOULPILLAR,6ad77773-3043-47d8-a4f6-fc0434eaf28c,6ad77773-3043-47d8-f6a4-04fcea348cf2,
ACT3_LOW_IRONTHRONE_DEADPLAYER,656bc31a-5949-4c9b-9690-334dd3d5bfe8,656bc31a-5949-4c9b-9096-4d33d5d3e8bf,
ACT3_LOW_IRONTHRONE_MIZORASPIDERSTARGET_FIRSTLADDER,bb83e4b4-d819-4252-a53a-2616204c76a6,bb83e4b4-d819-4252-3aa5-16264c20a676,
ACT3_LOW_IRONTHRONE_PRISONER,af8b63d3-64c8-4d84-8222-a2bc54ac887b,af8b63d3-64c8-4d84-2282-bca2ac547b88,
ACT3_LOW_IRONTHRONE_RAVENGARDTARGET,6953dce2-8f2f-4ff4-bb29-78cbb3dc5638,6953dce2-8f2f-4ff4-29bb-cb78dcb33856,
ACT3_LOW_IRONTHRONE_SWARMTARGET_HATCH,905c6c3b-22b3-4fa0-a8df-c0a7095bd897,905c6c3b-22b3-4fa0-dfa8-a7c05b0997d8,
ACT3_LOW_IRONTHRONE_SWARMTARGET_INNERDOOR,a7f4b2a4-97d2-41f8-9fe9-39160750d1e1,a7f4b2a4-97d2-41f8-e99f-16395007e1d1,
ACT3_LOW_IRONTHRONE_SWARMTARGET_OUTERDOOR,4116c28d-b243-4c28-8ecb-9b2385d2fe68,4116c28d-b243-4c28-cb8e-239bd28568fe,
ACT3_LOW_JANNATHSBUTLER,5eddaac2-3745-479b-a49e-eb4578279d3c,5eddaac2-3745-479b-9ea4-45eb27783c9d,The butler at Jannath's House
ACT3_LOW_KURWINCOFFIN_FORBIDDENBYGHOSTS,5494ba04-c134-472a-b072-2b167ed74253,5494ba04-c134-472a-72b0-162bd77e5342,
ACT3_LOW_ORIN,fd10b344-0360-412c-acd1-a12529acd673,fd10b344-0360-412c-d1ac-25a1ac2973d6,
